timestamp,total_memory_mb,available_memory_mb,used_memory_mb,percent_memory
2024-06-18 11:26:38,5853.63,1296.42,4237.45,77.90
2024-06-18 11:26:43,5853.63,1304.09,4229.78,77.70
2024-06-18 11:26:48,5853.63,1300.54,4233.33,77.80
2024-06-18 11:26:53,5853.63,1298.99,4234.88,77.80
2024-06-18 11:26:58,5853.63,1320.58,4213.29,77.40
2024-06-18 11:27:03,5853.63,1321.61,4212.27,77.40
2024-06-18 11:27:08,5853.63,1317.73,4216.14,77.50
2024-06-18 11:27:13,5853.63,1267.15,4266.55,78.40
2024-06-18 11:27:18,5853.63,1274.44,4259.27,78.20
2024-06-18 11:27:23,5853.63,1338.82,4194.89,77.10
2024-06-18 11:27:28,5853.63,1311.18,4222.53,77.60
2024-06-18 11:27:33,5853.63,1253.80,4279.92,78.60
2024-06-18 11:27:38,5853.63,1250.01,4283.71,78.60
2024-06-18 11:27:43,5853.63,1250.19,4283.52,78.60
2024-06-18 11:27:48,5853.63,1248.30,4285.42,78.70
2024-06-18 11:27:53,5853.63,1248.31,4285.40,78.70
2024-06-18 11:27:58,5853.63,1243.03,4290.68,78.80
2024-06-18 11:28:03,5853.63,1243.29,4290.43,78.80
2024-06-18 11:28:08,5853.63,1243.29,4290.43,78.80
2024-06-18 11:28:13,5853.63,1244.05,4289.66,78.70
2024-06-18 11:28:18,5853.63,1329.20,4204.51,77.30
2024-06-18 11:28:23,5853.63,1328.41,4205.30,77.30
2024-06-18 11:28:28,5853.63,1325.42,4208.25,77.40
2024-06-18 11:28:33,5853.63,1325.00,4208.71,77.40
2024-06-18 11:28:38,5853.63,1324.89,4208.83,77.40
2024-06-18 11:28:43,5853.63,1325.04,4208.67,77.40
2024-06-18 11:28:48,5853.63,1325.04,4208.67,77.40
2024-06-18 11:28:53,5853.63,1325.05,4208.66,77.40
2024-06-18 11:28:58,5853.63,1325.05,4208.66,77.40
2024-06-18 11:29:03,5853.63,1324.30,4209.41,77.40
2024-06-18 11:29:08,5853.63,1322.86,4210.86,77.40
2024-06-18 11:29:13,5853.63,1322.98,4210.77,77.40
2024-06-18 11:29:18,5853.63,1322.57,4211.18,77.40
2024-06-18 11:29:23,5853.63,1322.58,4211.17,77.40
2024-06-18 11:29:28,5853.63,1323.32,4210.43,77.40
2024-06-18 11:29:33,5853.63,1302.90,4230.84,77.70
2024-06-18 11:29:38,5853.63,1304.21,4229.40,77.70
2024-06-18 11:29:43,5853.63,1311.91,4221.71,77.60
2024-06-18 11:29:48,5853.63,1311.70,4221.91,77.60
2024-06-18 11:29:53,5853.63,1311.49,4222.13,77.60
2024-06-18 11:29:58,5853.63,1310.14,4223.47,77.60
2024-06-18 11:30:03,5853.63,1317.04,4216.22,77.50
2024-06-18 11:30:08,5853.63,1314.29,4219.87,77.50
2024-06-18 11:30:13,5853.63,1317.41,4216.80,77.50
2024-06-18 11:30:18,5853.63,1316.63,4217.58,77.50
2024-06-18 11:30:23,5853.63,1320.38,4213.83,77.40
2024-06-18 11:30:28,5853.63,1320.38,4213.82,77.40
2024-06-18 11:30:33,5853.63,1322.28,4211.93,77.40
2024-06-18 11:30:38,5853.63,1328.48,4205.72,77.30
2024-06-18 11:30:43,5853.63,1328.42,4205.79,77.30
2024-06-18 11:30:48,5853.63,1358.34,4175.87,76.80
2024-06-18 11:30:53,5853.63,1358.07,4176.14,76.80
2024-06-18 11:30:58,5853.63,1358.18,4176.02,76.80
2024-06-18 11:31:03,5853.63,1358.55,4175.65,76.80
2024-06-18 11:31:08,5853.63,1357.65,4176.55,76.80
2024-06-18 11:31:13,5853.63,1359.75,4174.46,76.80
2024-06-18 11:31:18,5853.63,1359.30,4174.91,76.80
2024-06-18 11:31:23,5853.63,1360.30,4173.91,76.80
2024-06-18 11:31:28,5853.63,1360.31,4173.90,76.80
2024-06-18 11:31:33,5853.63,1360.32,4173.89,76.80
2024-06-18 11:31:38,5853.63,1360.10,4174.11,76.80
2024-06-18 11:31:43,5853.63,1360.11,4174.09,76.80
2024-06-18 11:31:48,5853.63,1359.19,4175.02,76.80
2024-06-18 11:31:53,5853.63,1359.20,4175.01,76.80
2024-06-18 11:31:58,5853.63,1359.20,4175.00,76.80
2024-06-18 11:32:03,5853.63,1358.96,4175.34,76.80
2024-06-18 11:32:08,5853.63,1358.76,4175.55,76.80
2024-06-18 11:32:13,5853.63,1359.32,4174.99,76.80
2024-06-18 11:32:18,5853.63,1359.00,4175.30,76.80
2024-06-18 11:32:23,5853.63,1358.88,4175.42,76.80
2024-06-18 11:32:28,5853.63,1359.00,4175.31,76.80
2024-06-18 11:32:33,5853.63,1358.47,4175.84,76.80
2024-06-18 11:32:38,5853.63,1357.93,4176.39,76.80
2024-06-18 11:32:43,5853.63,1359.35,4174.96,76.80
2024-06-18 11:32:48,5853.63,1357.61,4176.59,76.80
2024-06-18 11:32:53,5853.63,1347.72,4186.47,77.00
2024-06-18 11:32:58,5853.63,1346.45,4187.71,77.00
2024-06-18 11:33:03,5853.63,1346.13,4188.06,77.00
2024-06-18 11:33:08,5853.63,1346.14,4188.06,77.00
2024-06-18 11:33:13,5853.63,1346.14,4188.05,77.00
2024-06-18 11:33:18,5853.63,1346.40,4187.79,77.00
2024-06-18 11:33:23,5853.63,1346.41,4187.79,77.00
2024-06-18 11:33:28,5853.63,1345.04,4189.16,77.00
2024-06-18 11:33:33,5853.63,1344.95,4189.25,77.00
2024-06-18 11:33:38,5853.63,1344.95,4189.23,77.00
2024-06-18 11:33:43,5853.63,1344.95,4189.22,77.00
2024-06-18 11:33:48,5853.63,1344.98,4189.21,77.00
2024-06-18 11:33:53,5853.63,1345.00,4189.20,77.00
2024-06-18 11:33:58,5853.63,1346.20,4188.00,77.00
2024-06-18 11:34:03,5853.63,1346.21,4187.99,77.00
2024-06-18 11:34:08,5853.63,1346.22,4187.97,77.00
2024-06-18 11:34:13,5853.63,1346.22,4187.96,77.00
2024-06-18 11:34:18,5853.63,1346.26,4187.93,77.00
2024-06-18 11:34:23,5853.63,1346.02,4188.16,77.00
2024-06-18 11:34:28,5853.63,1346.03,4188.16,77.00
2024-06-18 11:34:33,5853.63,1346.03,4188.16,77.00
2024-06-18 11:34:38,5853.63,1353.62,4180.62,76.90
2024-06-18 11:34:43,5853.63,1353.41,4180.84,76.90
2024-06-18 11:34:48,5853.63,1353.19,4181.16,76.90
2024-06-18 11:34:53,5853.63,1353.19,4181.16,76.90
2024-06-18 11:34:58,5853.63,1353.25,4181.09,76.90
2024-06-18 11:35:03,5853.63,1353.27,4181.09,76.90
2024-06-18 11:35:08,5853.63,1351.64,4182.71,76.90
2024-06-18 11:35:13,5853.63,1351.64,4182.71,76.90
2024-06-18 11:35:18,5853.63,1351.65,4182.70,76.90
2024-06-18 11:35:23,5853.63,1351.65,4182.70,76.90
2024-06-18 11:35:28,5853.63,1351.65,4182.70,76.90
